,,,All production,,,,,,Stripping,,,,,,Auger,,,,,
County,State,Year,Total Production,Average Value per Ton,Average Number of Persons Working Daily,Average Number of Days Worked,Number of Person-Days Worked,Average Tons per Person per Day,Number of Strip Pits,Total Production (Stripping),Average Number of Persons Working Daily (Stripping),Average Number of Days Worked (Stripping),Number of Person-Days Worked (Stripping),Average Tons per Person per Day (Stripping),Number of Auger Mines,Total Production (Auger),Average Number of Persons Working Daily (Auger),Average Number of Days Worked (Auger),Number of Person-Days Worked (Auger),Average Tons per Person per Day (Auger)
Tazewell,Virginia,1958,2752143,6.61,1889,192,363287,7.58,3,111687,38,206,7816,14.29,6,53897,65,55,3558,15.15
Wise,Virginia,1958,6287536,4.56,3211,200,643449,9.77,24,1012538,195,234,45610,22.20,9,359957,61,209,12715,28.31
Barbour,West Virginia,1958,3221003,4.51,1165,181,210611,15.29,16,811180,147,176,25809,31.43,2,22730,11,43,470,48.35
Boone,West Virginia,1958,5456235,4.83,2549,188,479031,11.39,5,269711,97,208,20233,13.33,6,404415,90,137,12289,32.91
Braxton,West Virginia,1958,196788,4.14,145,176,25555,7.70,1,6552,2,212,325,20.16,,,,,,
Brooke,West Virginia,1958,748411,4.78,517,162,83860,8.92,5,151460,61,185,11354,13.34,,,,,,
Clay,West Virginia,1958,900962,4.58,664,144,95671,9.42,,,,,,,,,,,,
Fayette,West Virginia,1958,5153074,6.01,4237,166,704083,7.32,9,160604,80,126,10120,15.87,,,,,,
Gilmer,West Virginia,1958,407372,3.82,178,163,29061,14.02,2,179005,30,104,3116,57.45,1,34261,5,81,405,84.60
Grant,West Virginia,1958,94179,2.96,100,131,13052,7.22,,,,,,,,,,,,
Greenbrier,West Virginia,1958,1084539,4.75,755,174,131520,8.25,9,292558,102,175,17893,16.35,,,,,,
Harrison,West Virginia,1958,6538502,4.49,2434,189,459517,14.23,31,1342324,426,218,92830,14.46,13,360353,77,247,19036,18.93
Kanawha,West Virginia,1958,9583862,4.72,3737,210,786538,12.18,3,165371,42,233,9785,16.90,7,710147,103,183,18847,37.68
Lewis,West Virginia,1958,790197,3.38,162,177,28639,27.59,,,,,,,,,,,,
Logan,West Virginia,1958,16449686,4.82,7539,201,1513437,10.87,,,,,,,3,76131,33,118,3951,19.27
Marion,West Virginia,1958,9471631,5.62,3836,188,721523,13.13,1,55707,27,205,5483,10.16,,,,,,
Marshall,West Virginia,1958,,,,,,,,,,,,,,,,,,
Mason,West Virginia,1958,346397,3.34,193,228,44080,7.86,,,,,,,1,16132,4,252,1008,16.00
McDowell,West Virginia,1958,13955106,6.86,10103,145,1460208,9.56,12,646549,171,180,30832,20.97,10,204084,62,131,8067,25.30
Mercer,West Virginia,1958,888508,5.96,732,153,111641,7.96,8,202387,72,134,9619,21.04,2,14330,10,130,1304,10.99
Mineral,West Virginia,1958,97546,3.81,85,135,11506,8.48,,,,,,,,,,,,
Mingo,West Virginia,1958,5905108,5.01,2204,198,436338,13.53,,,,,,,3,215962,58,160,9225,
Monongalia,West Virginia,1958,6945673,5.04,2458,188,463081,,3,25087,12,65,794,31.59,,,,,,
Nicholas,West Virginia,1958,4726596,5.06,3145,179,563725,8.38,7,391444,126,184,23273,16.82,,,,,,
Ohio,West Virginia,1958,,,,,,,,,,,,,,,,,,
Pocahontas,West Virginia,1958,576448,4.84,452,189,85335,6.76,1,27206,28,242,6785,4.01,1,2101,5,55,275,7.64
Preston,West Virginia,1958,2039176,3.66,1171,187,219402,9.29,11,769697,151,256,38698,19.89,1,8353,4,200,800,10.44
Putnam,West Virginia,1958,67493,3.45,51,201,10265,6.58,,,,,,,1,5545,3,31,93,59.62
Raleigh,West Virginia,1958,7777600,6.20,5585,170,946816,8.21,10,430696,135,156,20989,20.52,7,126947,26,143,3738,33.96
Randolph,West Virginia,1958,874073,5.41,747,175,130900,6.68,4,146340,25,264,6713,21.80,,,,,,
Summers,West Virginia,1958,11519,4.29,101,15,1516,7.60,,,,,,,,,,,,
Taylor,West Virginia,1958,174648,3.37,147,133,19516,8.95,4,93747,49,170,8348,11.23,,,,,,
Tucker,West Virginia,1958,406808,2.78,147,114,16694,24.37,2,404769,138,112,15420,26.25,,,,,,
Upshur,West Virginia,1958,1085414,4.39,567,160,90647,11.97,8,220831,103,109,11255,19.62,,,,,,
Wayne,West Virginia,1958,56337,3.41,38,209,7946,7.09,,,,,,,,,,,,
Webster,West Virginia,1958,769224,5.73,546,158,86381,8.91,2,91309,24,234,5609,16.28,1,3901,4,108,437,8.92
Wyoming,West Virginia,1958,10344308,5.96,5031,201,1009675,10.25,7,598246,164,172,28126,21.27,3,105477,12,71,818,128.91
"Grant, Lewis, Logan, Monongalia, Ohio",West Virginia,1958,,,,,,,15,788,293,156,45665,17.27,,,,,,
"Marshall, Ohio",West Virginia,1958,2323274,4.62,916,227,207768,11.18,,,,,,,,,,,,
"Brooke, Clay, Fayette, Grant, Lewis, Mineral, Monongalia, Nicholas, Taylor",West Virginia,1958,,,,,,,,,,,,,16,614077,155,119,18435,33.31
Bell,Kentucky,1959,1119310,3.89,621,135,83565,13.39,19,408885,148,129,9152,121.35,11,275131,100,129,12899,21.33
Boyd,Kentucky,1959,116366,4.55,88,140,12317,9.45,1,30186,40,60,2384,12.66,1,17852,7,38,269,66.36
Breathitt,Kentucky,1959,588730,6.07,278,215,59770,9.85,,,,,,,,,,,,
Butler,Kentucky,1959,202802,3.96,81,155,12584,16.12,3,140372,35,132,4621,30.38,,,,,,
Caldwell,Kentucky,1959,35857,3.00,13,228,2968,12.08,1,35857,13,228,2968,12.08,,,,,,
Carter,Kentucky,1959,48226,4.85,59,149,8764,5.50,1,5700,6,95,570,10.00,,,,,,
Christian,Kentucky,1959,36061,5.03,21,116,2435,14.81,2,36061,21,116,2435,14.81,,,,,,
Clay,Kentucky,1959,1022831,4.13,1297,156,201752,5.07,12,176689,71,185,13078,13.51,3,42536,7,135,916,46.42
Clinton,Kentucky,1959,22642,4.21,42,121,5065,4.47,,,,,,,,,,,,
Daviess,Kentucky,1959,804004,2.90,93,242,22474,35.77,2,763239,65,294,19138,39.88,,,,,,
Elliott,Kentucky,1959,12406,4.00,14,189,2651,4.68,,,,,,,,,,,,
Floyd,Kentucky,1959,3744379,5.80,2309,179,413287,9.06,,,,,,,,,,,,
Greenup,Kentucky,1959,9635,5.05,27,150,4048,2.38,,,,,,,,,,,,
Hancock,Kentucky,1959,5367,4.38,3,91,274,19.59,1,5367,3,91,274,19.59,,,,,,
Harlan,Kentucky,1959,5205160,5.95,3499,169,590074,8.82,4,24488,17,78,1303,18.79,12,217879,76,83,6284,34.67
Henderson,Kentucky,1959,281790,3.02,128,246,31450,8.96,,,,,,,,,,,,
Hopkins,Kentucky,1959,11124717,3.76,2828,209,591096,18.82,17,4445273,513,246,126286,35.20,1,1200,3,60,180,66.67
Jackson,Kentucky,1959,138385,4.42,201,121,24321,5.69,,,,,,,,,,,,
Johnson,Kentucky,1959,257044,3.71,365,110,40100,6.41,,,,,,,,,,,,
Knott,Kentucky,1959,1071897,3.22,978,114,111434,9.62,1,4000,4,100,400,10.00,3,17380,13,185,2397,7.25
Knox,Kentucky,1959,106140,3.28,171,100,17031,6.23,1,10372,4,140,519,20.00,,,,,,
Laurel,Kentucky,1959,337123,4.04,222,139,30881,10.92,5,243598,126,131,16448,14.81,,,,,,
Lawrence,Kentucky,1959,42787,4.55,129,76,9836,4.35,,,,,,,,,,,,
Lee,Kentucky,1959,113497,4.79,120,189,22714,5.00,1,2600,4,10,36,72.50,,,,,,
Leslie,Kentucky,1959,2813167,4.28,1674,177,296370,9.49,,,,,,,5,213326,57,114,6468,32.98
Letcher,Kentucky,1959,3843184,5.38,1893,168,318952,12.05,3,220231,51,226,11524,19.11,6,113657,57,100,5683,20.00
Magoffin,Kentucky,1959,187266,3.38,260,98,25592,7.32,3,54104,36,175,6321,8.56,,,,,,
Martin,Kentucky,1959,55281,3.40,44,156,6842,8.08,,,,,,,,,,,,
McCreary,Kentucky,1959,526243,4.04,382,160,61115,8.61,2,100794,126,49,6172,16.33,1,2659,2,100,177,15.00
McLean,Kentucky,1959,1200,3.26,2,60,120,10.00,1,5367,2,60,120,10.00,,,,,,
Morgan,Kentucky,1959,129778,4.74,190,76,14439,8.99,5,91703,57,96,5501,16.67,,,,,,
Muhlenberg,Kentucky,1959,9821537,3.34,1571,205,322135,30.49,10,7458358,675,249,167981,44.40,,,,,,
Ohio,Kentucky,1959,3294916,3.23,353,238,84036,39.21,11,3162774,284,263,74664,42.36,,,,,,
Owsley,Kentucky,1959,41823,3.67,14,149,2091,20.00,2,41823,14,149,2091,20.00,,,,,,
Perry,Kentucky,1959,4087528,4.61,1817,193,350087,11.68,,,,,,,11,505866,77,212,16313,31.01
Pike,Kentucky,1959,6876190,5.10,3890,162,628955,10.93,,,,,,,25,626770,134,153,20443,30.66
Pulaski,Kentucky,1959,203826,3.70,86,187,16061,12.69,3,128006,17,259,4396,29.12,,,,,,
Rockcastle,Kentucky,1959,107590,3.43,83,156,12979,8.29,3,53816,23,162,3803,14.15,,,,,,
Union,Kentucky,1959,2735435,3.99,660,244,161344,16.95,1,77731,10,220,2200,35.33,,,,,,
Wayne,Kentucky,1959,7226,6.09,13,101,1319,5.48,,,,,,,,,,,,
Webster,Kentucky,1959,1271840,3.02,234,220,51408,24.74,5,1254122,231,221,51147,24.52,1,17718,3,150,261,67.89
Whitley,Kentucky,1959,345863,3.27,656,123,80648,4.29,11,85681,185,49,9048,9.47,2,75725,20,87,3029,25.00
Wolfe,Kentucky,1959,12800,4.71,19,147,2793,4.58,3,2000,2,75,133,15.00,,,,,,
"Leslie, Perry",Kentucky,1959,,,,,,,3,15515,20,22,432,35.91,,,,,,
Anderson,Tennessee,1959,1067197,4.29,561,157,88102,12.11,11,221556,49,154,7515,29.48,4,35995,24,21,503,71.49
Bledsoe,Tennessee,1959,40649,3.50,57,98,5607,7.25,,,,,,,,,,,,
Campbell,Tennessee,1959,470309,3.47,593,119,70528,6.67,16,262097,143,109,15601,16.80,2,73844,8,173,1394,52.96
Claiborne,Tennessee,1959,158494,4.36,207,97,20065,7.90,3,18914,46,65,3012,6.28,2,11879,25,54,1326,8.96
Cumberland,Tennessee,1959,107007,3.44,142,125,17740,6.03,2,50144,33,113,3734,13.43,,,,,,
Fentress,Tennessee,1959,122644,3.11,456,85,38797,3.16,4,25009,106,59,6252,4.00,,,,,,
Grundy,Tennessee,1959,173837,4.00,55,185,10201,17.04,,,,,,,,,,,,
Hamilton,Tennessee,1959,46765,3.34,91,99,9049,5.17,2,9871,24,20,489,20.19,,,,,,
Marion,Tennessee,1959,1607002,4.43,1103,155,171209,9.39,4,185380,135,65,8765,21.15,2,94609,28,65,1789,52.87
Morgan,Tennessee,1959,551248,4.07,536,221,118489,4.65,14,270125,56,189,10585,25.52,1,42106,8,150,1200,35.09
Overton,Tennessee,1959,92089,3.00,286,79,22571,4.08,,,,,,,,,,,,
Putnam,Tennessee,1959,,,,,,,,,,,,,,,,,,
Rhea,Tennessee,1959,127147,2.35,245,92,22584,5.63,,,,,,,,,,,,
Scott,Tennessee,1959,511882,3.82,402,142,57156,8.96,7,138297,42,165,6922,19.98,2,79455,40,150,6070,13.09
Sequatchie,Tennessee,1959,345370,3.10,288,142,40915,8.44,,,,,,,,,,,,
Van Buren,Tennessee,1959,70623,3.16,87,124,10754,6.57,2,15408,8,100,823,18.73,,,,,,
White,Tennessee,1959,,,,,,,,,,,,,,,,,,
"Grundy, Sequatchie",Tennessee,1959,,,,,,,4,166900,43,183,7877,21.19,,,,,,
Buchan,Tennessee,1959,10319691,4.36,7151,192,1371980,7.52,2,12131,6,135,867,14.00,4,67468,12,141,2117,31.87
"Putnam, White",Tennessee,1959,420461,4.15,129,234,30180,13.93,,,,,,,,,,,,
Dickenson,Virginia,1959,7569436,4.68,2134,234,498644,15.18,5,202086,22,207,4581,44.11,1,20000,3,207,621,32.21
Lee,Virginia,1959,451019,3.72,727,117,84898,5.31,5,57006,24,94,2212,25.77,2,19544,12,94,1102,17.73
Montgomery,Virginia,1959,,,,,,,,,,,,,,,,,,
Russell,Virginia,1959,2563972,5.10,1042,196,203923,12.57,4,145159,30,225,6758,21.48,6,241342,67,221,14797,16.31
Scott,Virginia,1959,13636,4.55,11,207,2273,6.00,,,,,,,,,,,,
Tazewell,Virginia,1959,6335267,,,,,,3,18220,12,125,1518,12.00,8,120482,53,57,2993,40.25
Wise,Virginia,1959,2515819,4.55,2913,200,582648,10.87,23,1326057,190,190,190,24.73,12,239058,42,143,5984,39.95
"Montgomery, Tazewell",Virginia,1959,2515819,6.02,1674,177,295679,8.51,,,,,,,,,,,,
Barbour,West Virginia,1959,3097083,4.33,1155,184,212890,14.55,19,787982,164,174,28457,27.69,,,,,,
Boone,West Virginia,1959,6306774,4.74,2283,207,472855,13.34,,,,,,,5,343574,81,176,14280,24.06
Braxton,West Virginia,1959,131870,4.21,168,90,15061,8.76,1,34655,6,81,486,71.31,,,,,,
Brooke,West Virginia,1959,370812,5.58,247,200,49340,7.52,,,,,,,,,,,,
Clay,West Virginia,1959,,,,,,,,,,,,,,,,,,
Fayette,West Virginia,1959,4809004,5.24,3467,169,586363,8.20,3,86813,42,111,4677,18.56,6,30514,34,51,1751,17.43
Gilmer,West Virginia,1959,422372,3.64,187,184,34410,12.27,,,,,,,2,43658,8,84,672,64.97
Grant,West Virginia,1959,75145,3.25,67,187,12556,5.98,1,24019,14,134,1905,12.61,,,,,,
Greenbrier,West Virginia,1959,670812,4.53,432,143,61656,10.88,5,273155,82,140,11482,23.79,1,6116,4,90,360,16.99
Harrison,West Virginia,1959,6537795,4.38,2231,192,428014,15.27,26,1451503,300,121,68210,21.28,9,207879,42,157,6554,31.72
Kanawha,West Virginia,1959,9393360,4.80,3630,204,739610,12.70,5,180081,42,181,7592,23.72,8,745948,111,174,19280,38.69
Lewis,West Virginia,1959,954300,3.39,157,220,34579,27.60,4,522250,109,219,23771,21.97,,,,,,
Logan,West Virginia,1959,16680806,4.72,6859,212,1451619,11.49,1,439375,39,245,9556,45.98,4,172658,40,120,4785,36.08
Marion,West Virginia,1959,9347547,5.40,3441,193,662780,14.10,4,34333,14,95,1330,25.81,,,,,,
Marshall,West Virginia,1959,,,,,,,,,,,,,,,,,,
Mason,West Virginia,1959,496934,3.23,183,218,39975,12.43,1,46200,15,36,528,87.53,2,52018,6,261,1510,34.44
McDowell,West Virginia,1959,13522354,6.82,7145,187,1338356,10.10,9,346516,118,162,19187,18.06,,,,,,
Mercer,West Virginia,1959,799189,5.25,481,148,71077,11.24,1,24867,6,124,761,32.69,4,21782,33,69,2274,9.58
Mineral,West Virginia,1959,48853,4.20,89,76,6760,7.23,,,,,,,1,1305,4,15,60,21.75
Mingo,West Virginia,1959,6555801,4.89,2197,209,460195,14.25,,,,,,,3,167824,28,141,3957,42.41
Monongalia,West Virginia,1959,7276577,5.10,2336,197,459838,15.82,3,10946,12,59,720,15.20,,,,,,
Nicholas,West Virginia,1959,4801953,4.97,2804,172,481355,9.98,5,368824,94,174,16327,22.59,4,123045,41,147,6020,20.44
Ohio,West Virginia,1959,,,,,,,1,19256,21,197,4132,4.66,,,,,,
Pocahontas,West Virginia,1959,451539,4.08,304,176,53447,8.45,1,34567,40,260,10507,3.29,1,6080,4,156,624,9.74
Preston,West Virginia,1959,2307605,3.56,1541,174,267890,8.61,13,695958,147,219,32235,21.59,2,22799,5,193,965,23.62
Putnam,West Virginia,1959,66455,4.48,75,179,13452,4.94,,,,,,,,,,,,
Raleigh,West Virginia,1959,6518471,6.12,4456,163,724840,8.99,7,191655,131,97,12726,15.06,8,150398,37,125,4621,32.55
Randolph,West Virginia,1959,913825,5.18,761,163,123754,7.38,4,168268,31,219,6804,24.73,2,10262,12,51,606,16.93
Taylor,West Virginia,1959,75307,3.64,102,128,13051,6.77,,,,,,,,,,,,
Tucker,West Virginia,1959,145861,2.84,74,146,10788,13.52,,,,,,,,,,,,
Upshur,West Virginia,1959,1083175,4.40,469,174,81401,13.31,7,110722,35,172,5946,18.62,1,10140,5,79,392,25.86
Wayne,West Virginia,1959,72860,3.84,106,95,10077,7.23,,,,,,,,,,,,
Webster,West Virginia,1959,430899,5.74,457,102,46606,9.25,2,15533,18,236,4244,3.66,1,7182,3,180,540,13.30
Wyoming,West Virginia,1959,10886119,5.88,4583,212,971002,11.21,8,547651,160,158,25307,21.64,1,46408,7,86,602,77.09
"Clay, Marshall, Ohio",West Virginia,1959,4440672,4.63,1360,228,310326,14.31,,,,,,,,,,,,
"Barbour, Brooke, Clay, Lewis, McDowell, Monongalia",West Virginia,1959,,,,,,,,,,,,,15,868328,178,145,25738,33.74
"Boone, Brooke, Gilmer, Mineral, Mingo, Tucker",West Virginia,1959,,,,,,,16,827740,245,164,40279,20.55,,,,,,
Bell,Kentucky,1960,1493535,3.90,716,141,100971,14.79,17,402776,79,127,9985,40.34,14,483035,124,93,11545,41.84
Boyd,Kentucky,1960,26001,4.77,16,244,3904,6.66,,,,,,,,,,,,
Breathitt,Kentucky,1960,553681,6.08,265,231,61113,9.06,,,,,,,,,,,,
Carter,Kentucky,1960,18600,5.15,25,149,3720,5.00,,,,,,,,,,,,
Clay,Kentucky,1960,1284121,3.63,1162,170,197131,6.51,6,252761,39,261,10119,24.98,7,97439,29,147,4249,22.93
Clinton,Kentucky,1960,38432,4.00,49,166,8125,4.73,,,,,,,,,,,,
Elliott,Kentucky,1960,16987,3.39,21,204,4290,3.96,,,,,,,,,,,,
Floyd,Kentucky,1960,4278155,6.00,2468,180,445448,9.60,,,,,,,,,,,,
Harlan,Kentucky,1960,6235601,5.61,3968,164,652042,9.56,5,119075,79,177,14009,8.50,15,379241,105,131,13736,27.61
Jackson,Kentucky,1960,125726,3.47,250,104,25893,4.86,3,35153,35,100,3515,10.00,,,,,,
Johnson,Kentucky,1960,257535,3.34,311,121,37596,6.85,,,,,,,,,,,,
Knott,Kentucky,1960,1352392,3.12,1049,121,126533,10.69,1,18021,18,100,1802,10.00,5,147186,210,62,13048,11.28
Knox,Kentucky,1960,242939,3.43,578,72,41489,5.86,2,38157,15,68,1036,36.83,,,,,,
Laurel,Kentucky,1960,110074,3.44,167,103,17264,6.38,4,32708,41,67,2749,11.90,,,,,,
Lawrence,Kentucky,1960,44808,3.43,55,127,6977,6.42,1,16436,16,100,1644,10.00,,,,,,
Lee,Kentucky,1960,54340,5.07,57,186,10615,5.12,1,3958,8,50,396,10.00,,,,,,
Leslie,Kentucky,1960,2290791,4.42,1546,162,250040,9.16,,,,,,,,,,,,
Letcher,Kentucky,1960,4244832,5.51,1970,174,342939,12.38,,,,,,,11,190994,49,101,4967,38.45
McCreary,Kentucky,1960,517126,3.79,221,262,57963,8.92,1,120624,15,131,1960,61.54,,,,,,
Magoffin,Kentucky,1960,73174,1.96,65,96,6222,11.76,,,,,,,,,,,,
Martin,Kentucky,1960,35053,3.40,54,88,4769,7.35,,,,,,,,,,,,
Menifee,Kentucky,1960,1300,5.15,7,46,325,4.00,,,,,,,,,,,,
Morgan,Kentucky,1960,37692,3.41,143,51,7229,5.21,,,,,,,,,,,,
Owsley,Kentucky,1960,126550,4.03,92,95,8758,14.45,,,,,,,,,,,,
Perry,Kentucky,1960,4441099,4.37,1955,188,366822,12.11,1,44512,30,100,2967,15.00,14,652673,113,158,17837,36.59
Pike,Kentucky,1960,7619486,4.61,3747,168,628906,12.12,5,91566,44,260,11431,8.01,31,638101,176,122,21470,29.72
Pulaski,Kentucky,1960,153704,4.02,101,159,16082,9.56,,,,,,,,,,,,
Rockcastle,Kentucky,1960,38588,3.77,46,148,6830,5.65,,,,,,,,,,,,
Wayne,Kentucky,1960,9057,6.31,7,194,1360,6.66,,,,,,,,,,,,
Whitley,Kentucky,1960,523380,3.53,604,170,102905,5.09,11,307141,83,154,12824,23.95,,,,,,
Wolfe,Kentucky,1960,15125,5.00,23,158,3627,4.17,,,,,,,,,,,,
"Leslie, Letcher, Morgan, Owsley, Pulaski",Kentucky,1960,,,,,,,10,500471,263,110,28805,17.37,,,,,,
Butler,Kentucky,1960,213552,4.50,83,160,13250,16.12,,,,,,,,,,,,
Caldwell,Kentucky,1960,45885,3.00,19,201,3824,12.00,1,45885,19,201,3824,12.00,,,,,,
Christian,Kentucky,1960,70348,5.75,36,130,4690,15.00,,,,,,,,,,,,
Daviess,Kentucky,1960,967707,3.47,88,282,24822,38.00,3,921152,68,304,20709,44.48,,,,,,
Hancock,Kentucky,1960,118311,3.26,39,152,5916,20.00,,,,,,,,,,,,
Henderson,Kentucky,1960,301209,3.19,165,208,34385,8.76,,,,,,,,,,,,
Hopkins,Kentucky,1960,11818541,3.60,2758,209,576117,20.51,20,4498986,435,246,106915,42.08,,,,,,
McLean,Kentucky,1960,58000,3.26,19,204,3867,15.00,1,58000,19,200,3867,15.00,,,,,,
Muhlenberg,Kentucky,1960,9918659,3.32,1424,224,318368,31.15,9,7751149,655,270,176886,43.82,,,,,,
Ohio,Kentucky,1960,3239246,3.29,328,236,77279,41.92,15,2990697,231,276,63876,46.82,1,24603,8,45,360,68.34
Union,Kentucky,1960,2832776,3.98,708,234,165557,17.11,2,82481,12,175,2044,40.35,,,,,,
Webster,Kentucky,1960,1002374,3.22,234,203,47535,21.09,5,996039,228,206,46939,21.22,1,3940,2,100,197,20.00
"Floyd, Knox, Leslie, Whitley ",Kentucky,1960,,,,,,,,,,,,,6,88614,38,71,2686,32.99
"Butler, Christian, Hancock",Kentucky,1960,,,,,,,5,344444,112,141,15799,21.80,,,,,,
Anderson,Tennessee,1960,1613244,3.72,596,195,116181,13.89,11,367978,73,196,14369,25.61,4,90143,23,104,2404,37.50
Bledsoe,Tennessee,1960,2268,3.24,51,89,4562,5.10,,,,,,,,,,,,
Campbell,Tennessee,1960,643181,3.41,620,146,90293,7.12,16,419148,156,127,19855,21.11,2,18118,5,123,636,28.50
Claiborne,Tennessee,1960,246083,3.61,177,140,24741,9.95,6,115303,42,145,6021,19.15,1,34306,34,100,3431,10.00
Cumberland,Tennessee,1960,84400,3.87,47,108,5073,16.64,4,67582,17,125,2080,32.49,,,,,,
Fentress,Tennessee,1960,104384,2.87,255,114,29072,3.59,3,9670,6,150,967,10.00,,,,,,
Grundy,Tennessee,1960,167859,4.31,54,178,9598,17.49,5,156709,38,197,7494,20.91,,,,,,
Hamilton,Tennessee,1960,37062,3.15,79,147,11582,3.20,,,,,,,,,,,,
Marion,Tennessee,1960,816768,3.23,815,108,87842,9.30,,,,,,,,,,,,
Morgan,Tennessee,1960,479764,3.69,584,203,118340,4.05,10,193549,45,158,7061,27.41,,,,,,
Overton,Tennessee,1960,118278,2.02,249,77,19283,6.13,3,47963,27,150,3997,12.00,,,,,,
Putnam,Tennessee,1960,391986,4.40,114,239,27202,14.41,,,,,,,,,,,,
Rhea,Tennessee,1960,80278,2.35,58,231,13380,6.00,,,,,,,,,,,,
Scott,Tennessee,1960,554076,3.65,328,181,59256,9.35,7,182636,59,213,12475,14.64,3,32812,11,117,1328,24.70
Sequatchie,Tennessee,1960,505528,3.46,338,170,57490,8.79,2,115949,20,281,5684,20.40,,,,,,
Van Buren,Tennessee,1960,62491,3.08,32,205,6552,9.54,,,,,,,,,,,,
White,Tennessee,1960,1800,2.25,6,66,393,4.58,,,,,,,,,,,,
"Marion, Morgan",Tennessee,1960,,,,,,,,,,,,,3,52532,17,58,990,53.06
"Marion, Van Buren ",Tennessee,1960,,,,,,,4,87426,23,179,4108,21.28,,,,,,
Buchanan,Virginia,1960,10568033,4.18,6761,200,1349469,7.83,,,,,,,8,106240,28,110,3133,33.91
Dickenson,Virginia,1960,7120217,4.17,1793,217,388405,18.33,1,172207,34,200,6888,25.00,1,6501,2,150,325,20.00
Lee,Virginia,1960,616003,3.67,440,177,78077,7.89,2,91357,13,219,2775,32.92,4,147101,20,219,4468,32.92
Montgomery,Virginia,1960,8474,3.90,11,178,1953,4.34,,,,,,,,,,,,
Russell,Virginia,1960,2284452,4.86,924,229,211184,10.82,,,,,,,4,71559,9,210,1818,39.37
Scott,Virginia,1960,16199,4.31,14,193,2700,6.00,,,,,,,,,,,,
Tazewell,Virginia,1960,1750992,6.10,1155,211,243881,7.18,2,23517,16,100,1568,15.00,4,111686,17,189,3291,33.94
Wise,Virginia,1960,5473525,4.51,2474,214,529370,10.34,26,990877,189,194,36618,27.06,11,204114,34,194,6555,31.14
"Buchanan, Russell ",Virginia,1960,,,,,,,4,92906,17,197,3352,27.72,,,,,,
Barbour,West Virginia,1960,3279945,4.29,1198,186,222949,14.71,19,755000,175,146,25602,29.49,4,107440,10,181,1756,61.18
Boone,West Virginia,1960,6151942,4.63,2313,194,448563,13.71,,,,,,,5,347477,67,152,10151,34.23
Braxton,West Virginia,1960,235138,4.24,132,108,14271,16.48,1,23846,6,56,336,70.97,,,,,,
Brooke,West Virginia,1960,540508,4.81,255,191,48709,11.10,6,218927,59,206,12176,17.98,,,,,,
Clay,West Virginia,1960,,,,,,,1,3699,15,68,1019,3.63,,,,,,
Fayette,West Virginia,1960,4642027,4.88,2969,180,533205,8.71,3,71446,32,141,4468,15.99,6,68920,38,108,4068,16.94
Gilmer,West Virginia,1960,956603,4.22,323,206,66557,14.37,,,,,,,,,,,,
Grant,West Virginia,1960,,,,,,,,,,,,,,,,,,
Greenbrier,West Virginia,1960,851511,4.21,990,96,94764,8.99,7,347106,100,163,16281,21.32,1,4408,4,120,480,9.18
Hancock,West Virginia,1960,1200,4.59,8,100,800,1.50,,,,,,,,,,,,
Harrison,West Virginia,1960,6296245,4.40,2103,197,413789,15.22,23,1036296,261,233,60744,17.06,9,176086,44,138,6024,29.23
Kanawha,West Virginia,1960,9378163,4.54,3417,203,693078,13.53,3,95820,33,191,6296,15.22,6,820307,86,201,17317,47.37
Lewis,West Virginia,1960,604477,3.35,158,209,32987,18.32,3,384905,121,219,26418,14.57,,,,,,
Lincoln,West Virginia,1960,24626,4.68,19,171,3257,7.56,,,,,,,,,,,,
Logan,West Virginia,1960,16378371,4.54,6101,217,1322102,12.39,,,,,,,5,347907,54,78,4228,58.64
Marion,West Virginia,1960,9020356,5.43,2849,211,600626,15.02,2,10642,4,95,379,28.08,,,,,,
Marshall,West Virginia,1960,,,,,,,,,,,,,,,,,,
Mason,West Virginia,1960,440064,3.50,194,196,38017,11.58,,,,,,,,,,,,
McDowell,West Virginia,1960,13318298,6.60,7422,184,1366545,9.75,9,474116,1042,175,182422,25.99,7,130223,33,110,3625,35.92
Mercer,West Virginia,1960,642259,6.15,427,152,64789,9.91,2,64302,6,140,878,73.25,1,2746,1,140,140,19.61
Mineral,West Virginia,1960,81277,3.61,37,227,8410,9.66,1,52813,11,251,2761,19.13,1,14706,11,251,2759,5.33
Mingo,West Virginia,1960,5802873,5.08,2379,182,432747,13.41,,,,,,,5,103218,93,66,6120,16.93
Monongalia,West Virginia,1960,6900778,5.00,1872,209,391304,17.64,5,73597,27,197,5314,13.85,,,,,,
Nicholas,West Virginia,1960,4929411,5.00,2586,178,461367,10.68,5,242246,75,132,9953,24.34,7,171060,48,117,5599,30.55
Ohio,West Virginia,1960,,,,,,,,,,,,,,,,,,
Pocahontas,West Virginia,1960,375560,4.24,292,137,39997,9.39,1,44420,23,264,6152,7.22,1,4958,3,130,390,12.71
Preston,West Virginia,1960,2729469,3.50,1450,198,286885,9.50,16,869997,170,254,43197,20.14,,,,,,
Putnam,West Virginia,1960,65600,4.56,54,196,10581,6.20,,,,,,,,,,,,
Raleigh,West Virginia,1960,6631098,5.54,3601,194,698422,9.49,5,84155,40,98,3960,21.25,6,195784,58,135,7850,24.94
Randolph,West Virginia,1960,1213049,5.03,693,192,133262,9.10,6,179003,44,211,9299,19.25,3,28693,10,136,1359,21.11
