,,,All production,,,,,,Stripping,,,,,,Auger,,,,,
County,State,Year,Total Production,Average Value per Ton,Average Number of Persons Working Daily,Average Number of Days Worked,Number of Person-Days Worked,Average Tons per Person per Day,Number of Strip Pits,Total Production (Stripping),Average Number of Persons Working Daily (Stripping),Average Number of Days Worked (Stripping),Number of Person-Days Worked (Stripping),Average Tons per Person per Day (Stripping),Number of Auger Mines,Total Production (Auger),Average Number of Persons Working Daily (Auger),Average Number of Days Worked (Auger),Number of Person-Days Worked (Auger),Average Tons per Person per Day (Auger)
Daviess,Kentucky,1957,,,,,,,,,,,,,,,,,,
"Daviess, Webster",Kentucky,1957,2764061,2.91,422,217,91569,30.19,19,2701175,345,231,79623,33.92,,,,,,
Grayson,Kentucky,1957,1125,3.16,1,229,33,34.19,1,1125,1,229,33,34.19,,,,,,
Hancock,Kentucky,1957,33533,3.06,19,68,1261,26.59,2,33533,19,68,1261,26.59,,,,,,
Henderson,Kentucky,1957,273812,3.13,157,214,33679,8.13,,,,,,,,,,,,
Hopkins,Kentucky,1957,12699080,3.68,3382,192,649297,19.56,28,5175208,617,219,135194,38.38,1,23656,3,130,390,60.66
Muhlenberg,Kentucky,1957,7176618,3.39,2083,157,327432,21.92,11,4296120,686,188,129051,33.29,,,,,,
Ohio,Kentucky,1957,3027425,3.59,354,216,76613,39.52,10,3011462,321,224,71890,41.89,,,,,,
Union,Kentucky,1957,2907745,3.85,937,209,195831,14.85,1,6300,1,229,184,34.19,,,,,,
Webster,Kentucky,1957,,,,,,,,,,,,,1,9317,1,190,160,58.21
Anderson,Tennessee,1957,1481025,3.59,548,192,104942,14.11,8,322319,76,171,12950,24.89,1,32333,4,160,640,50.52
Bledsoe,Tennessee,1957,27137,2.88,53,135,7217,3.76,,,,,,,,,,,,
Campbell,Tennessee,1957,975908,4.10,2305,77,177509,5.50,19,464694,271,122,33098,14.04,,,,,,
Claiborne,Tennessee,1957,451775,3.77,385,151,58261,7.75,9,227208,132,201,26543,8.56,3,76011,9,171,1524,49.86
Cumberland,Tennessee,1957,115024,4.57,69,134,9267,12.41,5,75127,20,292,3747,20.05,1,1599,3,60,180,8.33
Fentress,Tennessee,1957,122863,3.11,202,75,15110,8.13,,,,,,,1,34183,5,182,910,37.56
"Fentress, Hamilton",Tennessee,1957,,,,,,,5,171938,43,186,7981,21.54,,,,,,
Grundy,Tennessee,1957,182575,3.70,95,110,10417,17.53,4,167109,38,269,6347,26.33,,,,,,
Hamilton,Tennessee,1957,159043,3.40,124,107,13271,11.98,,,,,,,,,,,,
Marion,Tennessee,1957,1612200,4.89,1664,136,226671,7.11,1,27750,9,172,1607,17.27,,,,,,
Morgan,Tennessee,1957,684203,3.96,620,203,125642,5.45,14,494443,144,156,22414,22.06,,,,,,
"Morgan, Scott",Tennessee,1957,,,,,,,,,,,,,2,56161,12,129,1546,36.32
Overton,Tennessee,1957,,,,,,,,,,,,,,,,,,
"Overton, Putnam",Tennessee,1957,601670,3.90,653,123,80590,7.47,,,,,,,,,,,,
Putnam,Tennessee,1957,,,,,,,,,,,,,,,,,,
Rhea,Tennessee,1957,54105,3.00,64,109,7008,7.72,,,,,,,,,,,,
Scott,Tennessee,1957,961825,3.42,757,142,107218,8.97,14,552798,186,139,25892,21.35,,,,,,
Sequatchie,Tennessee,1957,273391,2.79,332,127,42190,6.48,,,,,,,,,,,,
Van Buren,Tennessee,1957,58418,3.30,106,105,11109,5.26,1,15507,8,141,1130,13.72,,,,,,
White,Tennessee,1957,193926,2.72,252,34,8665,22.38,1,95635,230,221,5084,18.81,2,94871,12,221,2652,35.77
Buchanan,Virginia,1957,10481001,4.79,6427,212,1362988,7.69,4,64182,34,135,4584,14.00,10,140329,65,258,16826,8.34
Dickenson,Virginia,1957,5267736,5.00,2414,232,559500,9.42,12,438158,118,227,26738,18.07,,,,,,
"Dickenson, Russell, Tazewell",Virginia,1957,,,,,,,,,,,,,8,202929,46,151,6924,29.31
Lee,Virginia,1957,550133,6.14,776,153,118586,4.64,1,1481,1,219,87,17.02,,,,,,
Montgomery,Virginia,1957,24832,7.67,71,190,13496,1.84,,,,,,,,,,,,
Russell,Virginia,1957,2745060,5.21,1128,227,255990,10.72,,,,,,,,,,,,
"Russell, Tazewell",Virginia,1957,,,,,,,5,256721,55,235,12937,19.84,,,,,,
Scott,Virginia,1957,16184,3.42,10,209,2005,8.07,,,,,,,,,,,,
Tazewell,Virginia,1957,3993979,6.60,2553,216,551497,7.24,,,,,,,,,,,,
Wise,Virginia,1957,6426654,4.85,3385,195,661714,9.71,15,1062440,207,221,45755,23.22,5,233223,37,180,6578,35.45
Barbour,West Virginia,1957,3808997,4.73,1395,190,264798,14.38,12,942644,186,209,12335,24.29,2,33780,11,73,825,40.93
Boone,West Virginia,1957,7344010,5.02,3188,219,699193,10.50,,,,,,,4,312300,49,209,10266,20.42
"Boone, Marlon, Mineral, Putnam",West Virginia,1957,,,,,,,7,541805,182,196,35718,15.17,,,,,,
Braxton,West Virginia,1957,220872,4.14,148,206,30549,7.23,,,,,,,,,,,,
Brooke,West Virginia,1957,1110114,4.53,475,215,102163,10.87,5,249419,46,266,727,20.22,,,,,,
"Brooke, Mercer, Nicholas, Randolph",West Virginia,1957,,,,,,,,,,,,,7,256500,33,212,7000,36.64
Clay,West Virginia,1957,,,,,,,2,16116,3,209,24318,22.18,1,10978,2,193,419,26.19
"Clay, Marshall, Mercer, Ohio",West Virginia,1957,3160874,4.81,1609,191,307935,10.26,,,,,,,,,,,,
Fayette,West Virginia,1957,7118769,5.98,4618,223,1028889,6.92,12,342400,130,187,3373,14.08,6,263383,62,215,13249,19.88
Gilmer,West Virginia,1957,394890,3.90,118,195,23056,17.13,2,172579,20,168,1901,51.16,2,116781,7,178,1330,87.89
Grant,West Virginia,1957,93954,3.84,86,218,18774,5.00,2,42154,9,209,24957,22.18,,,,,,
Greenbrier,West Virginia,1957,1340265,5.41,835,213,177471,7.55,6,265040,112,222,2357,10.62,,,,,,
Hancock,West Virginia,1957,8071,5.06,14,213,2982,2.71,1,2428,11,215,82204,1.03,,,,,,
Harrison,West Virginia,1957,9193139,4.65,3218,196,631783,14.55,28,1590618,425,198,11929,18.89,16,644111,106,222,23602,27.29
Kanawha,West Virginia,1957,10867876,5.03,4138,223,923291,11.77,7,208521,51,233,46345,17.48,11,714719,141,194,27394,26.09
Lewis,West Virginia,1957,1059510,3.74,227,234,53214,19.91,5,804094,196,236,8201,17.35,5,244635,19,218,4167,58.71
Logan,West Virginia,1957,22518288,5.31,9840,233,2291262,9.83,1,267680,33,247,55003,32.64,6,308068,100,116,11577,26.61
Marion,West Virginia,1957,11970907,5.68,4302,222,954361,12.54,,,,215,,,,,,,,
Marshall,West Virginia,1957,,,,,,,,,,,,,,,,,,
Mason,West Virginia,1957,195031,4.13,105,229,24048,8.11,,,,,,,,,,,,
McDowell,West Virginia,1957,19023435,7.00,9458,220,2082886,9.13,20,1156169,256,215,17939,21.02,11,351137,122,100,12218,28.74
Mercer,West Virginia,1957,1442327,6.55,851,197,168011,8.58,6,252220,89,201,26185,14.06,,,,,,
Mineral,West Virginia,1957,,,,,,,,,,180,,,,,,,,
Mingo,West Virginia,1957,7667629,5.26,3016,205,618082,12.41,4,355859,145,180,2375,13.59,5,399973,84,178,14952,26.75
Monongalia,West Virginia,1957,10160807,5.11,3257,213,693766,14.65,3,52676,11,209,28723,22.18,,,,,,
Nicholas,West Virginia,1957,5893328,5.57,3332,216,720303,8.18,6,382308,118,244,1359,13.31,,,,,,
Ohio,West Virginia,1957,,,,,,,,,,209,,,,,,,,
Pocahontas,West Virginia,1957,564798,4.04,371,214,79524,7.10,1,30151,7,209,26091,22.18,,,,,,
Preston,West Virginia,1957,2450810,3.76,1499,206,308789,7.94,11,828124,120,217,39560,31.72,,,,,,
Putnam,West Virginia,1957,158657,4.22,59,184,10836,14.64,,,,197,,,,29825,6,153,979,30.46
Raleigh,West Virginia,1957,11566776,6.55,6672,225,1499622,7.72,1,1034488,201,197,5844,26.15,7,144239,33,158,5153,27.99
Randolph,West Virginia,1957,1017937,5.82,735,225,165012,6.17,5,132311,31,186,11152,22.64,,,,,,
Taylor,West Virginia,1957,514119,3.79,198,181,35896,14.32,4,336452,44,252,19624,30.17,2,12381,2,193,473,26.19
Tucker,West Virginia,1957,355663,4.00,98,211,20668,17.21,5,353240,91,216,7893,18.00,,,,,,
Upshur,West Virginia,1957,1429636,4.63,580,219,126919,11.26,7,226046,37,216,1549,28.64,1,6200,1,193,237,26.19
Wayne,West Virginia,1957,172046,4.14,132,218,28674,6.00,,,,209,,,,,,,,
Webster,West Virginia,1957,1126069,5.58,647,199,128936,8.73,2,34363,7,209,35075,22.18,,,,,,
Wyoming,West Virginia,1957,12892434,6.16,5980,230,1377637,9.36,7,943516,141,248,35718,26.90,6,169383,32,216,7014,24.15
Bell,Kentucky,1958,1186071,3.77,673,167,112232,10.57,14,394790,142,180,25553,15.45,6,205781,14,144,1948,105.62
Boyd,Kentucky,1958,289468,3.93,169,217,36750,7.88,1,105687,41,285,11601,9.11,1,86471,21,167,3476,24.88
Breathitt,Kentucky,1958,714588,6.01,388,203,78655,9.09,1,20000,7,180,1220,16.39,,,,,,
Carter,Kentucky,1958,236058,6.18,170,205,34920,6.76,,,,,,,,,,,,
Clay,Kentucky,1958,1101550,3.91,834,178,148035,7.40,18,357794,80,191,15330,23.34,1,10246,12,45,541,18.94
Clinton,Kentucky,1958,26022,3.65,42,139,5821,4.47,,,,,,,,,,,,
Elliott,Kentucky,1958,15992,3.86,16,212,3395,4.71,,,,,,,,,,,,
Floyd,Kentucky,1958,4263325,5.88,2876,170,488913,8.72,,,,,,,,,,,,
Greenup,Kentucky,1958,3100,5.05,4,180,720,4.31,,,,,,,,,,,,
Harlan,Kentucky,1958,6939434,5.84,4392,183,805646,8.61,,,,,,,12,128631,131,64,8374,15.36
Jackson,Kentucky,1958,131345,4.15,134,196,26261,5.00,2,3508,7,150,1047,3.35,,,,,,
Johnson,Kentucky,1958,304800,3.48,401,108,43301,7.04,1,1750,1,131,131,13.36,,,,,,
Knott,Kentucky,1958,1482764,3.20,1104,129,142541,10.40,,,,,,,4,95335,60,149,8877,10.74
Knox,Kentucky,1958,198483,3.73,298,95,28187,7.04,5,90829,31,143,4422,20.54,,,,,,
Laurel,Kentucky,1958,250978,4.08,138,203,28063,8.94,5,197485,92,223,20507,9.63,,,,,,
Lawrence,Kentucky,1958,60371,4.00,116,120,13975,4.32,,,,,,,,,,,,
Lee,Kentucky,1958,113522,4.22,500,100,50013,2.27,2,40647,18,95,1728,23.52,1,9150,3,114,371,26.45
Leslie,Kentucky,1958,2659553,4.10,1758,177,311131,8.55,,,,,,,4,90040,28,112,3125,28.81
Letcher,Kentucky,1958,5742943,5.28,2814,180,505867,11.35,6,272737,83,235,19426,14.04,,,,,,
Magoffin,Kentucky,1958,73460,3.37,47,158,7447,9.86,,,,,,,,,,,,
Martin,Kentucky,1958,49531,3.31,53,158,8381,5.91,,,,,,,,,,,,
McCreary,Kentucky,1958,470026,4.02,249,216,53841,8.73,4,86203,25,168,4187,20.59,,,,,,
Morgan,Kentucky,1958,46936,4.93,48,99,4750,9.88,7,42163,21,146,3121,13.51,,,,,,
Owsley,Kentucky,1958,1649,3.89,2,60,120,13.74,,,,,,,1,1649,2,60,120,13.74
Perry,Kentucky,1958,4789843,4.59,2265,192,434005,11.04,2,19986,20,80,1630,12.26,13,481672,102,121,12376,38.92
Pike,Kentucky,1958,6405577,4.94,4297,157,673670,9.51,,,,,,,25,623771,200,133,26600,23.45
Pulaski,Kentucky,1958,187138,3.52,103,202,20816,8.99,5,93050,18,220,3863,24.09,,,,,,
Rockcastle,Kentucky,1958,49781,3.47,66,151,9993,4.98,3,21488,14,210,2972,7.23,,,,,,
Wayne,Kentucky,1958,14655,9.16,24,106,2549,5.75,,,,,,,,,,,,
Whitley,Kentucky,1958,414152,3.89,440,185,81471,5.08,12,237223,99,161,15942,14.88,,,,,,
Wolfe,Kentucky,1958,8000,5.00,18,113,2036,3.93,,,,,,,,,,,,
Butler,Kentucky,1958,172216,3.42,470,135,63512,2.71,1,79169,441,132,58213,1.36,,,,,,
Daviess,Kentucky,1958,875147,2.89,85,259,22054,39.68,2,837067,59,321,18938,44.20,,,,,,
Edmonson,Kentucky,1958,1795,3.30,2,100,200,8.98,1,1795,2,100,200,8.98,,,,,,
Grayson,Kentucky,1958,1586,5.00,3,90,270,5.87,1,1586,3,90,270,5.87,,,,,,
Hancock,Kentucky,1958,22792,3.30,18,73,1314,17.35,3,22792,18,72,1314,17.35,,,,,,
Henderson,Kentucky,1958,241629,2.91,126,229,28800,8.39,,,,,,,,,,,,
Hopkins,Kentucky,1958,11428069,3.76,2997,197,591110,19.33,22,4686619,496,234,115948,40.42,1,10967,1,130,181,60.66
Muhlenberg,Kentucky,1958,8852076,3.30,1481,216,320087,27.65,13,6301396,598,252,150607,41.84,,,,,,
Ohio,Kentucky,1958,2785368,3.34,430,203,87440,31.85,12,2727412,231,285,65895,41.39,,,,,,
Webster,Kentucky,1958,1528025,3.00,295,229,67470,22.65,9,1486196,290,230,66795,22.25,1,41829,5,135,675,61.97
"Harlan, Leslie, Pike",Kentucky,1958,,,,,,,7,80970,28,119,3341,24.24,,,,,,
"Christian, Union",Kentucky,1958,2171987,4.20,684,195,133561,16.26,6,91749,42,136,5704,16.09,,,,,,
"Letcher, Magoffin",Kentucky,1958,,,,,,,,,,,,,7,102489,29,82,2365,43.34
Anderson,Tennessee,1958,1302324,3.72,630,167,105037,12.38,12,281518,111,70,7749,36.33,3,81232,10,160,1608,50.52
Bledsoe,Tennessee,1958,30546,4.36,56,137,7675,3.98,,,,,,,,,,,,
Campbell,Tennessee,1958,805910,3.31,799,140,111708,7.21,14,380204,113,182,20607,18.45,3,137161,15,173,2590,52.96
Claiborne,Tennessee,1958,280216,3.94,280,131,36659,7.64,6,91864,47,144,6765,13.58,3,55098,18,150,2755,20.00
Cumberland,Tennessee,1958,85789,3.43,141,102,14409,5.95,3,34837,14,127,1832,19.02,1,1000,2,60,120,8.33
Fentress,Tennessee,1958,78971,2.60,615,59,36436,2.17,1,4327,1,186,201,21.54,,,,,,
Grundy,Tennessee,1958,148131,3.48,52,166,8630,17.16,,,,,,,,,,,,
Hamilton,Tennessee,1958,84182,3.06,146,114,16580,5.08,2,31031,12,123,1480,20.97,,,,,,
Marion,Tennessee,1958,1385514,4.63,1084,159,171936,8.06,2,117305,39,172,6792,17.27,1,16229,2,166,410,39.59
Morgan,Tennessee,1958,692205,4.06,532,211,112398,6.16,11,444242,91,214,19501,22.78,2,67015,32,159,5058,13.25
Overton,Tennessee,1958,75421,3.13,167,114,19046,3.96,,,,,,,,,,,,
Putnam,Tennessee,1958,395463,4.22,112,237,26595,14.87,,,,,,,,,,,,
Rhea,Tennessee,1958,189715,2.35,268,92,24670,7.69,,,,,,,,,,,,
Roane,Tennessee,1958,2500,4.14,3,141,422,5.92,,,,,,,,,,,,
Scott,Tennessee,1958,797653,3.70,530,144,76497,10.43,13,394195,132,161,21228,18.57,2,105580,26,154,3999,26.40
Sequatchie,Tennessee,1958,338915,3.26,303,138,41853,8.10,,,,,,,,,,,,
Van Buren,Tennessee,1958,75482,3.20,92,130,11919,6.33,1,7245,4,113,451,16.05,,,,,,
White,Tennessee,1958,15663,3.74,24,120,2881,5.44,1,10006,6,100,600,16.67,,,,,,
"Grundy, Sequatchie",Tennessee,1958,,,,,,,4,172113,46,183,8416,20.45,,,,,,
Buchanan,Virginia,1958,9569471,4.51,6681,201,1345165,7.11,3,34509,18,135,2465,14.00,10,89189,30,95,2874,31.03
Dickenson,Virginia,1958,5166303,4.82,2432,206,500365,10.33,6,337956,49,239,11694,28.90,1,11720,3,226,678,17.29
Lee,Virginia,1958,364257,5.66,374,178,66127,5.51,3,12034,3,219,707,17.02,4,11218,3,205,590,19.01
Montgomery,Virginia,1958,12339,6.06,22,202,4454,2.77,,,,,,,,,,,,
Russell,Virginia,1958,2671629,4.93,1178,213,250520,10.66,3,230200,57,223,12761,18.04,4,135686,20,215,4384,30.95
Scott,Virginia,1958,2389,4.76,1,294,294,8.13,,,,,,,,,,,,
